"IdConglomerado","X_C3","Y_C3","NoIndividuo_C3","DiametroNormal_C3","AlturaTotal_C3","AreaBasal_C3","NombreComun_C3","Familia_APG_C3","Genero_APG_C3","Especie_APG_C3","Clave_ESP","N_Cientifico"
62750,-88.375833,18.488833,19,20.5,11.4,0.033006,"Zapote","Sapotaceae","Manilkara","zapota","Manzap","Manilkara zapota"
62750,-88.375833,18.488833,21,32.2,14.9,0.081433,"Caoba","Meliaceae","Swietenia","humilis","Swihum","Swietenia humilis"
62750,-88.375833,18.488833,25,8.1,9.6,0.005153,"Yaxnik","Lamiaceae","Vitex","gaumeri","Vitgau","Vitex gaumeri"
62750,-88.375833,18.488833,53,9,8.3,0.006362,"Chi´it","Arecaceae","Thrinax","radiata","Thrrad","Thrinax radiata"
62750,-88.375833,18.488833,57,8.4,8.7,0.005542,"Yaxnik","Lamiaceae","Vitex","gaumeri","Vitgau","Vitex gaumeri"
62750,-88.375833,18.488833,61,10.8,10.5,0.009161,"Zapote","Sapotaceae","Manilkara","zapota","Manzap","Manilkara zapota"
62750,-88.375833,18.488833,79,9.5,8.3,0.007088,"Chi´it","Arecaceae","Thrinax","radiata","Thrrad","Thrinax radiata"
61735,-88.310611,18.664556,35,9.1,8.9,0.006504,"CHIQUE","Sapotaceae","Chrysophyllum","mexicanum","Chrmex","Chrysophyllum mexicanum"
61735,-88.310611,18.664556,38,10.8,10.5,0.009161,"KANISTE","Sapotaceae","Pouteria","campechiana","Poucam","Pouteria campechiana"
61735,-88.310611,18.664556,48,8.9,8.5,0.006221,"ZAPOTE","Sapotaceae","Manilkara","zapota","Manzap","Manilkara zapota"
61735,-88.310611,18.664556,49,9.1,9.1,0.006504,"TADZI","Nyctaginaceae","Neea","psychotrioides","Neepsy","Neea psychotrioides"
61735,-88.310611,18.664556,10,15.5,13.6,0.018869,"SILIL","Ebenaceae","Diospyros","tetrasperma","Diotet","Diospyros tetrasperma"
61735,-88.310611,18.664556,24,8.5,8.1,0.005675,"YAXNIK","Lamiaceae","Vitex","gaumeri","Vitgau","Vitex gaumeri"
61735,-88.310611,18.664556,28,7.8,9.6,0.004778,"GUARUMBO","Urticaceae","Cecropia","obtusifolia","Cecobt","Cecropia obtusifolia"
61735,-88.310611,18.664556,6,9.4,9.6,0.00694,"TAMAY","Salicaceae","Zuelania","guidonia","Zuegui","Zuelania guidonia"
61735,-88.310611,18.664556,7,10,8.3,0.007854,"ZABAKCHE","Rubiaceae","Exostema","caribaeum","Exocar","Exostema caribaeum"
61735,-88.310611,18.664556,1,9.2,10.6,0.006648,"GUARUMBO","Urticaceae","Cecropia","obtusifolia","Cecobt","Cecropia obtusifolia"
61735,-88.310611,18.664556,11,11.7,8.3,0.010751,"CHIQUE","Sapotaceae","Chrysophyllum","mexicanum","Chrmex","Chrysophyllum mexicanum"
61735,-88.310611,18.664556,18,8.6,7.4,0.005809,"CIRICOTE","Cordiaceae","Cordia","dodecandra","Cordod","Cordia dodecandra"
61735,-88.310611,18.664556,19,18.6,10.9,0.027172,"YAXNIK","Lamiaceae","Vitex","gaumeri","Vitgau","Vitex gaumeri"
61735,-88.310611,18.664556,21,13.1,6.4,0.013478,"BOTAN","Arecaceae","Sabal","yapa","Sabyap","Sabal yapa"
61735,-88.310611,18.664556,8,14.6,3.5,0.016742,"CHIQUE","Sapotaceae","Chrysophyllum","mexicanum","Chrmex","Chrysophyllum mexicanum"
63502,-88.625361,18.374861,15,14.2,9,0.015837,"caimito","Sapotaceae","Chrysophyllum","cainito","Chrcai","Chrysophyllum cainito"
63502,-88.625361,18.374861,6,10.2,9.8,0.008171,"ubero","Polygonaceae","Coccoloba","spicata","Cocspi","Coccoloba spicata"
63502,-88.625361,18.374861,12,13.4,8.4,0.014103,"ciricote","Cordiaceae","Cordia","dodecandra","Cordod","Cordia dodecandra"
63502,-88.625361,18.374861,24,12,12.2,0.01131,"caoba","Meliaceae","Swietenia","humilis","Swihum","Swietenia humilis"
62739,-88.895361,18.535139,2,12,7.5,0.01131,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,34,15.1,8.4,0.017908,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,69,15.3,8.1,0.018385,"KANAZIN","Fabaceae","Lonchocarpus","rugosus","Lonrug","Lonchocarpus rugosus"
62739,-88.895361,18.535139,75,12.4,6.5,0.012076,"NANCHI","Malpighiaceae","Byrsonima","bucidifolia","Byrbuc","Byrsonima bucidifolia"
62739,-88.895361,18.535139,24,13.3,6.4,0.013893,"PIÑON","Euphorbiaceae","Jatropha","gaumeri","Jatgau","Jatropha gaumeri"
62739,-88.895361,18.535139,32,8.4,7.1,0.005542,"BOOB","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
62739,-88.895361,18.535139,33,15.2,8.5,0.018146,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,38,10.1,6.8,0.008012,"BOOB","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
62739,-88.895361,18.535139,41,12.1,7.5,0.011499,"HAMCHE","Salicaceae","Casearia","emarginata","Casema","Casearia emarginata"
62739,-88.895361,18.535139,42,10.4,6.4,0.008495,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,49,20.4,8.4,0.032685,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,22,15.8,7.9,0.019607,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,39,7.9,6.4,0.004902,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,40,18.8,8.1,0.027759,"CHECHEM","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62739,-88.895361,18.535139,17,14.2,6.9,0.015837,"ASANCHI","Malpighiaceae","Byrsonima","bucidifolia","Byrbuc","Byrsonima bucidifolia"
62739,-88.895361,18.535139,23,10.7,7.5,0.008992,"BOOB","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
62739,-88.895361,18.535139,27,14.4,7.9,0.016286,"TINTO","Fabaceae","Haematoxylum","campechianum","Haecam","Haematoxylum campechianum"
62739,-88.895361,18.535139,35,14.6,6.7,0.016742,"TINTO","Fabaceae","Haematoxylum","campechianum","Haecam","Haematoxylum campechianum"
62739,-88.895361,18.535139,43,8.2,7.8,0.005281,"HAMCHE","Salicaceae","Casearia","emarginata","Casema","Casearia emarginata"
